"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2020 08:00:00 - 11/01/2020 09:00:00","BZN|NO5","Without sequence","25.67","",""
"11/01/2020 09:00:00 - 11/01/2020 10:00:00","BZN|NO5","Without sequence","25.93","",""
"11/01/2020 10:00:00 - 11/01/2020 11:00:00","BZN|NO5","Without sequence","25.85","",""
"11/01/2020 11:00:00 - 11/01/2020 12:00:00","BZN|NO5","Without sequence","25.54","",""
"11/01/2020 12:00:00 - 11/01/2020 13:00:00","BZN|NO5","Without sequence","25.19","",""
"11/01/2020 13:00:00 - 11/01/2020 14:00:00","BZN|NO5","Without sequence","25.01","",""
"11/01/2020 14:00:00 - 11/01/2020 15:00:00","BZN|NO5","Without sequence","24.87","",""
"11/01/2020 15:00:00 - 11/01/2020 16:00:00","BZN|NO5","Without sequence","25.17","",""
"11/01/2020 16:00:00 - 11/01/2020 17:00:00","BZN|NO5","Without sequence","25.55","",""
"11/01/2020 17:00:00 - 11/01/2020 18:00:00","BZN|NO5","Without sequence","25.65","",""
"11/01/2020 18:00:00 - 11/01/2020 19:00:00","BZN|NO5","Without sequence","25.42","",""
"11/01/2020 19:00:00 - 11/01/2020 20:00:00","BZN|NO5","Without sequence","24.78","",""
"11/01/2020 20:00:00 - 11/01/2020 21:00:00","BZN|NO5","Without sequence","24.11","",""
"11/01/2020 21:00:00 - 11/01/2020 22:00:00","BZN|NO5","Without sequence","23.8","",""
"11/01/2020 22:00:00 - 11/01/2020 23:00:00","BZN|NO5","Without sequence","23.47","",""
"11/01/2020 23:00:00 - 12/01/2020 00:00:00","BZN|NO5","Without sequence","23.38","",""
"12/01/2020 00:00:00 - 12/01/2020 01:00:00","BZN|NO5","Without sequence","23.42","",""
"12/01/2020 01:00:00 - 12/01/2020 02:00:00","BZN|NO5","Without sequence","23.03","",""
"12/01/2020 02:00:00 - 12/01/2020 03:00:00","BZN|NO5","Without sequence","23.37","",""
"12/01/2020 03:00:00 - 12/01/2020 04:00:00","BZN|NO5","Without sequence","22.99","",""
"12/01/2020 04:00:00 - 12/01/2020 05:00:00","BZN|NO5","Without sequence","22.56","",""
"12/01/2020 05:00:00 - 12/01/2020 06:00:00","BZN|NO5","Without sequence","22.82","",""
"12/01/2020 06:00:00 - 12/01/2020 07:00:00","BZN|NO5","Without sequence","23.72","",""
